CalculatedMoleFraction,InitialMoleFraction,RelativeDifferencePercent,Pressure,Temperature
7.99951920677324e+149,0.00818,100,300,308
1.13165428234323e+150,0.00819,100,300,308
1.60067946655134e+150,0.0082,100,300,308
2.26379005255607e+150,0.00821,100,300,308
3.20117593036049e+150,0.00822,100,300,308
4.52610901117597e+150,0.00823,100,300,308
6.39857102463048e+150,0.00824,100,300,308
9.04448709456461e+150,0.00825,100,300,308
1.27828677976838e+151,0.00826,100,300,308
1.80641070090058e+151,0.00827,100,300,308
2.55240144088406e+151,0.00828,100,300,308
3.60600383942537e+151,0.00829,100,300,308
5.09387803210828e+151,0.0083,100,300,308
7.19476286200687e+151,0.00831,100,300,308
1.0160859376349e+152,0.00832,100,300,308
1.43479825262461e+152,0.00833,100,300,308
2.02580717006625e+152,0.00834,100,300,308
2.85991192264595e+152,0.00835,100,300,308
4.03696443069116e+152,0.00836,100,300,308
5.69777527712093e+152,0.00837,100,300,308
8.04089249091965e+152,0.00838,100,300,308
1.13462449320711e+153,0.00839,100,300,308
1.60084552271985e+153,0.0084,100,300,308
2.25837719380156e+153,0.00841,100,300,308
3.18561820012128e+153,0.00842,100,300,308
4.49305324477241e+153,0.00843,100,300,308
6.3363682248204e+153,0.00844,100,300,308
8.93491967569679e+153,0.00845,100,300,308
1.25977417340913e+154,0.00846,100,300,308
1.7760163091376e+154,0.00847,100,300,308
2.50353573788811e+154,0.00848,100,300,308
3.52869101624413e+154,0.00849,100,300,308
4.97309609153323e+154,0.0085,100,300,308
7.00799595559551e+154,0.00851,100,300,308
9.87449728333921e+154,0.00852,100,300,308
1.39120360139604e+155,0.00853,100,300,308
1.95984318128303e+155,0.00854,100,300,308
2.76062402815904e+155,0.00855,100,300,308
3.8882027015264e+155,0.00856,100,300,308
5.47578770470133e+155,0.00857,100,300,308
7.7108233470674e+155,0.00858,100,300,308
1.08570472057328e+156,0.00859,100,300,308
1.52855085369935e+156,0.0086,100,300,308
2.15181842353176e+156,0.00861,100,300,308
3.02893032608729e+156,0.00862,100,300,308
4.26315618977442e+156,0.00863,100,300,308
5.99973223697009e+156,0.00864,100,300,308
8.442897550651e+156,0.00865,100,300,308
1.18798390710396e+157,0.00866,100,300,308
1.67143442290733e+157,0.00867,100,300,308
2.35140929369308e+157,0.00868,100,300,308
3.30771115270025e+157,0.00869,100,300,308
4.65251452113447e+157,0.0087,100,300,308
6.54348424630741e+157,0.00871,100,300,308
9.20220489604701e+157,0.00872,100,300,308
1.29400692010954e+158,0.00873,100,300,308
1.81946416686282e+158,0.00874,100,300,308
2.55807319767894e+158,0.00875,100,300,308
3.59621230732011e+158,0.00876,100,300,308
5.0552299389729e+158,0.00877,100,300,308
7.10558895307751e+158,0.00878,100,300,308
9.98672655811563e+158,0.00879,100,300,308
1.40349375444904e+159,0.0088,100,300,308
1.97225193521089e+159,0.00881,100,300,308
2.77127235970905e+159,0.00882,100,300,308
3.89368910925194e+159,0.00883,100,300,308
5.47027180418179e+159,0.00884,100,300,308
7.68462071481169e+159,0.00885,100,300,308
1.07944915594856e+160,0.00886,100,300,308
1.51617206541782e+160,0.00887,100,300,308
2.12942161221883e+160,0.00888,100,300,308
2.9904876355505e+160,0.00889,100,300,308
4.19942538712657e+160,0.0089,100,300,308
5.89665268661986e+160,0.00891,100,300,308
8.27921885744548e+160,0.00892,100,300,308
1.16236259517904e+161,0.00893,100,300,308
1.63178391577126e+161,0.00894,100,300,308
2.29061836799677e+161,0.00895,100,300,308
3.21523119075777e+161,0.00896,100,300,308
4.51275084456027e+161,0.00897,100,300,308
6.33345213877308e+161,0.00898,100,300,308
8.88812020435659e+161,0.00899,100,300,308
1.24723973009349e+162,0.009,100,300,308
1.75009185608152e+162,0.00901,100,300,308
2.45551696479331e+162,0.00902,100,300,308
3.44505784164366e+162,0.00903,100,300,308
4.83305653607859e+162,0.00904,100,300,308
6.77983780251083e+162,0.00905,100,300,308
9.51018784657062e+162,0.00906,100,300,308
1.3339253881039e+163,0.00907,100,300,308
